stamp,log_run_id,source,gps_available,forced_dropout,model_loaded,model_ready,model_samples,model_sha256,model_target_mode,model_input_normalization,ann_x,ann_y,output_x,output_y,odom_x,odom_y,gps_x,gps_y,origin_source,origin_x,origin_y,fuzzy_alpha_ann,fuzzy_alpha_odom,fuzzy_velocity_error,input_0,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,input_11,input_12,input_13,input_14
1.671000000,1779830080_5715,gps,True,False,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,0.247478433,-0.384893860,0.236782625,0.088076830,0.301173130,-0.000550907,0.236782625,0.088076830,first_gps,0.003839221,-0.137136925,nan,nan,nan,-0.007032193,-0.316398530,0.316476669,0.000004646,-0.000310911,0.000310945,0.000009293,-0.000621822,0.000621891,-0.004983949,-0.000349854,0.295322277,0.026573158,-0.004624397,-0.000049043
1.700000000,1779830080_5715,gps,True,False,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,0.266952163,-0.378882712,0.230864096,-0.050538170,0.336591488,-0.000606806,0.230864096,-0.050538170,first_gps,0.003839221,-0.137136925,nan,nan,nan,0.005302584,0.221353363,0.221416867,0.000016209,-0.000484704,0.000484975,0.000032417,-0.000969409,0.000969951,-0.010775955,-0.000531815,0.295014414,0.030114994,-0.009991135,-0.000054633
1.751000000,1779830080_5715,gps,True,False,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,0.313148240,-0.384552522,0.342749504,-0.173206132,0.372034098,-0.000647792,0.342749504,-0.173206132,first_gps,0.003839221,-0.137136925,nan,nan,nan,0.006687657,0.108503419,0.108709322,0.000042175,0.000124011,0.000130986,0.000084350,0.000248022,0.000261973,0.011415421,0.000165348,0.295229446,0.033659255,0.010592238,-0.000058731
1.803000000,1779830080_5715,gps,True,False,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,0.275036136,-0.387415858,0.375375874,-0.086068776,0.425172674,-0.000732341,0.375375874,-0.086068776,first_gps,0.003839221,-0.137136925,nan,nan,nan,0.002711040,-0.263663010,0.263676948,0.000046928,-0.000860151,0.000861431,0.000093856,-0.001720303,0.001722861,-0.024835472,-0.000973508,0.294332773,0.038973113,-0.023011421,-0.000067186
1.866000000,1779830080_5715,gps,True,False,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,0.325389562,-0.396353630,0.381673461,-0.065430108,0.442893912,-0.000762347,0.381673461,-0.065430108,first_gps,0.003839221,-0.137136925,nan,nan,nan,-0.003927358,0.268683067,0.268711769,0.000039466,-0.000349654,0.000351874,0.000078932,-0.000699307,0.000703748,-0.006426696,-0.000395179,0.295294196,0.040745237,-0.005962818,-0.000070187
1.901000000,1779830080_5715,gps,True,False,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,0.346185982,-0.402412138,0.345183108,-0.030135170,0.513754551,-0.000906698,0.345183108,-0.030135170,first_gps,0.003839221,-0.137136925,nan,nan,nan,0.000918852,-0.274192142,0.274193682,0.000014484,-0.000375074,0.000375354,0.000028969,-0.000750148,0.000750707,-0.006604490,-0.000400764,0.295217346,0.047831300,-0.006126231,-0.000084622
1.952000000,1779830080_5715,gps,True,False,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,0.415708963,-0.402213402,0.364926677,-0.104331176,0.549184439,-0.000969715,0.364926677,-0.104331176,first_gps,0.003839221,-0.137136925,nan,nan,nan,0.004880140,0.470881584,0.470906872,-0.000002821,-0.000104178,0.000104216,-0.000005642,-0.000208355,0.000208432,0.003073118,-0.000096733,0.295251289,0.051374289,0.002850588,-0.000090923
2.002000000,1779830080_5715,gps,True,False,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,0.468214052,-0.409255287,0.649859382,-0.095235241,0.602334021,-0.001062290,0.649859382,-0.095235241,first_gps,0.003839221,-0.137136925,nan,nan,nan,0.008208212,0.084994721,0.085390148,0.000021790,0.000397607,0.000398203,0.000043580,0.000795213,0.000796406,0.038485811,0.001015789,0.293184273,0.056689248,0.035621702,-0.000100181
2.050000000,1779830080_5715,gps,True,False,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,0.467241860,-0.414442300,0.701359792,0.118454683,0.673187869,-0.001195730,0.701359792,0.118454683,first_gps,0.003839221,-0.137136925,nan,nan,nan,-0.002707268,-1.000000000,1.000000000,0.000016683,-0.000690472,0.000690674,0.000033366,-0.001380944,0.001381347,-0.001211486,-0.000231338,0.295236776,0.063774632,-0.001123676,-0.000113525
2.124000000,1779830080_5715,gps,True,False,True,True,1183,31c1594f7caae09c6975238b7b255ad5c765bc56640ec43b539fdb93165d94da,absolute,standard,0.470880316,-0.420580130,0.767824257,0.209901233,0.708621046,-0.001259637,0.767824257,0.209901233,first_gps,0.003839221,-0.137136925,nan,nan,nan,-0.007070726,-1.000000000,1.000000000,0.000013661,-0.000863243,0.000863351,0.000027322,-0.001726486,0.001726702,-0.007203581,-0.000419585,0.295137419,0.067317950,-0.006680312,-0.000119916
