stamp,source,forced_dropout,x,y
0.150000000,gps,False,-0.043174858,0.080488199
0.200000000,gps,False,0.037157049,-0.001890041
0.251000000,gps,False,0.130766659,0.030697438
0.300000000,gps,False,0.079010724,-0.026845734
0.350000000,gps,False,-0.013794214,-0.045012226
0.406000000,gps,False,-0.063328826,-0.052432486
0.450000000,gps,False,-0.025936433,0.131150766
0.500000000,gps,False,0.012839752,-0.015872625
0.551000000,gps,False,0.150217961,0.017943848
0.602000000,gps,False,-0.066210056,0.035456021
0.650000000,gps,False,0.129450566,-0.044186908
0.700000000,gps,False,0.113765128,-0.072827128
0.750000000,gps,False,-0.010429571,-0.239772112
0.804000000,gps,False,0.078270071,0.020039520
0.861000000,gps,False,0.053132014,0.068314283
0.900000000,gps,False,0.034419969,-0.022959877
0.951000000,gps,False,-0.003543326,0.247951215
1.000000000,gps,False,-0.164593399,0.057382143
1.050000000,gps,False,-0.146539902,0.135075796
1.102000000,gps,False,-0.018119776,0.190641186
1.150000000,gps,False,-0.031375080,-0.089612278
1.201000000,gps,False,0.116499177,-0.056365445
1.259000000,gps,False,0.047778690,-0.088473505
1.300000000,gps,False,0.097130557,-0.008685057
1.352000000,gps,False,0.052755167,0.041639943
1.407000000,gps,False,-0.073986675,-0.106142822
1.455000000,gps,False,0.277745885,-0.053913202
1.501000000,gps,False,0.305453429,-0.026024087
1.551000000,gps,False,0.155283969,0.186042727
1.600000000,gps,False,0.386254468,0.025514589
1.650000000,gps,False,0.448163661,-0.023428409
1.700000000,gps,False,0.369011309,0.147398450
1.751000000,gps,False,0.389318283,-0.150906573
1.800000000,gps,False,0.416062219,0.027500583
1.851000000,gps,False,0.460338860,0.214839625
1.901000000,gps,False,0.701685631,0.075616812
1.950000000,gps,False,0.602507865,-0.070017080
2.000000000,gps,False,0.609041284,0.020596916
2.050000000,gps,False,0.718110231,-0.254281639
2.107000000,gps,False,0.891519872,-0.059066383
2.150000000,gps,False,0.770666178,-0.005998231
2.200000000,gps,False,0.673625058,0.133573898
2.250000000,gps,False,1.022023125,0.075012356
2.303000000,gps,False,0.918365800,-0.053317903
2.350000000,gps,False,0.939478576,0.023984671
2.402000000,gps,False,1.019741303,0.048910446
2.458000000,gps,False,1.036545113,0.015469832
2.500000000,gps,False,0.922898548,0.144367031
2.550000000,gps,False,1.155472643,0.016615079
2.601000000,gps,False,0.921367874,-0.162556845
2.650000000,gps,False,1.301954411,-0.008839338
2.702000000,gps,False,1.422153797,0.150537086
2.750000000,gps,False,1.277027845,-0.012213444
2.800000000,gps,False,1.406346767,0.063068316
2.850000000,gps,False,1.557509094,-0.070905243
2.900000000,gps,False,1.520187187,0.172469005
2.950000000,gps,False,1.389175836,0.148161502
3.000000000,gps,False,1.500616288,0.119397950
3.050000000,gps,False,1.307051865,0.072513222
3.100000000,gps,False,1.647336716,-0.057539458
3.150000000,gps,False,1.749808297,-0.124944666
3.200000000,gps,False,1.760087442,0.032126766
3.250000000,gps,False,1.579459277,-0.089648578
3.301000000,gps,False,1.742033607,-0.112996733
3.350000000,gps,False,1.817015161,0.003139577
3.400000000,gps,False,1.910041757,-0.161228534
3.450000000,gps,False,1.914653764,0.027293704
3.500000000,gps,False,1.917098153,0.022710847
3.550000000,gps,False,1.889889077,-0.081830421
3.601000000,gps,False,2.120405582,-0.076473681
3.650000000,gps,False,2.087000687,-0.042394364
3.700000000,gps,False,2.170884362,-0.061799674
3.750000000,gps,False,2.367095298,0.093561414
3.801000000,gps,False,2.273942290,-0.081431309
3.850000000,gps,False,2.202035252,-0.096722151
3.902000000,gps,False,2.302987372,0.009296157
3.950000000,gps,False,2.329515361,0.052764633
4.000000000,gps,False,2.448088369,0.059791275
4.056000000,gps,False,2.446127734,0.069386934
4.101000000,gps,False,2.601156307,-0.025765135
4.150000000,gps,False,2.576027805,0.157143902
4.200000000,gps,False,2.575908211,-0.198307975
4.250000000,gps,False,2.768353488,0.128564505
4.300000000,gps,False,2.755932243,-0.205048904
4.351000000,gps,False,2.669778750,0.144695012
4.400000000,gps,False,2.748585087,0.013627835
4.450000000,gps,False,2.906122647,0.045731964
4.500000000,gps,False,2.873239450,-0.029581367
4.551000000,gps,False,2.928120419,0.220017269
4.600000000,gps,False,2.996666014,0.292311748
4.650000000,gps,False,2.826884269,-0.003740383
4.700000000,gps,False,2.968178328,0.346846322
4.750000000,gps,False,2.940349536,0.387403791
4.800000000,gps,False,2.930732169,0.516657989
4.851000000,gps,False,2.717652188,0.112966150
4.900000000,gps,False,3.101429595,0.521936398
4.951000000,gps,False,3.059670617,0.691390629
5.000000000,gps,False,2.970871631,0.560680263
5.052000000,gps,False,2.964850052,0.691754557
5.105000000,gps,False,3.069435746,0.607836014
5.150000000,gps,False,2.820306663,0.669247923
5.201000000,gps,False,2.991754856,0.854129615
5.250000000,gps,False,3.009478684,0.652220847
5.300000000,gps,False,2.994509243,0.744782400
5.350000000,gps,False,3.166567056,0.795304360
5.400000000,gps,False,2.988969434,0.876554690
5.450000000,gps,False,3.008593586,1.115142657
5.504000000,gps,False,3.032992017,0.938283681
5.556000000,gps,False,2.952936195,0.950299981
5.600000000,gps,False,3.122235630,1.155491121
5.651000000,gps,False,3.077131024,1.104677616
5.703000000,gps,False,2.941662617,1.245858246
5.751000000,gps,False,3.106803368,1.247059682
5.800000000,gps,False,2.982057161,1.271985260
5.850000000,gps,False,2.911206396,1.330787170
5.900000000,gps,False,2.983281720,1.414138600
5.950000000,gps,False,3.100195898,1.450099391
6.000000000,gps,False,2.909595925,1.539245327
6.050000000,gps,False,2.758345837,1.494932963
6.100000000,gps,False,3.036207972,1.681725204
6.151000000,gps,False,2.830073949,1.499520454
6.200000000,gps,False,3.087896206,1.515105942
6.252000000,gps,False,3.024157809,1.543391376
6.300000000,gps,False,3.175408972,1.714061643
6.350000000,gps,False,3.055392377,1.758453045
6.400000000,gps,False,3.077333344,1.546452548
6.450000000,gps,False,3.019829732,1.873423970
6.500000000,gps,False,3.112230762,1.915941617
6.550000000,gps,False,3.142217226,1.829558877
6.610000000,gps,False,3.041297803,2.002705423
6.650000000,gps,False,3.066361778,1.885600223
6.700000000,gps,False,3.128029159,1.879087624
6.750000000,gps,False,3.083150397,2.014826011
6.800000000,gps,False,3.128119769,2.149022569
6.850000000,gps,False,2.982647150,2.178830584
6.900000000,gps,False,3.033665506,2.018872130
6.954000000,gps,False,2.822491016,2.341569350
7.000000000,gps,False,3.116209799,2.095046574
7.050000000,gps,False,2.974431720,2.046224116
7.100000000,gps,False,3.171523305,2.364681012
7.151000000,gps,False,3.066087729,2.295708140
7.202000000,gps,False,3.275128851,2.515484369
7.251000000,gps,False,2.971994202,2.486747800
7.300000000,gps,False,2.974847634,2.441279772
7.350000000,gps,False,2.942247062,2.372246540
7.402000000,gps,False,3.139680954,2.420406027
7.450000000,gps,False,3.223021728,2.742083791
7.500000000,gps,False,3.083607945,2.730318403
7.550000000,gps,False,2.949125654,2.695523092
7.606000000,gps,False,3.042829391,3.030995905
7.652000000,gps,False,2.977860030,2.917872534
7.700000000,gps,False,2.753365126,2.770618825
7.750000000,gps,False,2.816484974,2.945431489
7.803000000,gps,False,2.794017571,2.774693302
7.850000000,gps,False,2.901282193,3.085888662
7.900000000,gps,False,2.792472065,2.923286990
7.950000000,gps,False,2.798332726,2.963190680
8.000000000,gps,False,2.680286000,2.861990165
8.051000000,gps,False,2.504247100,2.916470611
8.100000000,gps,False,2.594197627,2.902369830
8.150000000,gps,False,2.674767577,2.976732771
8.200000000,gps,False,2.450674987,3.075368066
8.250000000,gps,False,2.577363659,3.017279565
8.300000000,gps,False,2.551375149,3.151104187
8.351000000,gps,False,2.384229717,2.842238675
8.400000000,gps,False,2.378747889,3.020822037
8.461000000,gps,False,2.204526279,2.967810855
8.500000000,gps,False,2.226951879,3.046433841
8.550000000,gps,False,2.131716558,2.873870878
8.601000000,gps,False,2.240301517,3.161521895
8.650000000,gps,False,2.078831464,3.016594877
8.700000000,gps,False,1.898064058,2.872491641
8.751000000,gps,False,2.079987401,3.113624195
8.801000000,gps,False,2.148903795,3.175857676
8.850000000,gps,False,2.006153732,2.935341902
8.900000000,gps,False,2.010992098,3.122519562
8.951000000,gps,False,1.811716460,3.012898781
9.000000000,gps,False,1.954720345,3.046851269
9.050000000,gps,False,1.787142225,3.013714317
9.100000000,gps,False,1.728871922,2.951783198
9.150000000,gps,False,1.653261240,2.963982650
9.200000000,gps,False,1.559709567,2.957313389
9.250000000,gps,False,1.375952952,2.881374277
9.302000000,gps,False,1.722362364,3.167568305
9.350000000,gps,False,1.488498432,2.969538916
9.400000000,gps,False,1.460237947,3.104621914
9.450000000,gps,False,1.566913914,3.175952204
9.500000000,gps,False,1.279544148,2.905080090
9.550000000,gps,False,1.326054021,3.027115809
9.605000000,gps,False,1.325492234,3.090504562
9.650000000,gps,False,1.150498284,3.020310760
9.700000000,gps,False,1.253509176,3.035894622
9.752000000,gps,False,0.969479826,2.951883131
9.803000000,gps,False,1.179737705,3.052428015
9.851000000,gps,False,1.050003455,3.038801705
9.900000000,gps,False,0.893666152,2.980233842
9.950000000,gps,False,0.980675056,2.869509789
10.000000000,gps,False,0.807588411,3.177033033
10.051000000,gps,False,1.025451772,2.974520247
10.100000000,gps,False,0.732486289,2.991867918
10.150000000,gps,False,0.732040595,2.914424106
10.200000000,gps,False,0.671296222,2.882764343
10.250000000,gps,False,0.772612971,2.967093949
10.302000000,gps,False,0.810001152,3.227313898
10.352000000,gps,False,0.532688212,3.041145622
10.400000000,gps,False,0.585676335,3.128051641
10.450000000,gps,False,0.458955356,2.813314951
10.500000000,gps,False,0.361528058,2.944436998
10.550000000,gps,False,0.354703043,2.848298326
10.601000000,gps,False,0.486714923,2.996056136
10.650000000,gps,False,0.518290368,2.994480547
10.700000000,gps,False,0.231208394,2.975341576
10.750000000,gps,False,0.172372617,2.938911543
10.803000000,gps,False,0.157345990,2.838280600
10.851000000,gps,False,0.276489520,2.914000492
10.903000000,gps,False,0.143036435,2.916729975
10.956000000,gps,False,0.138221193,2.716011654
11.002000000,gps,False,0.081928514,2.937952460
11.050000000,gps,False,0.158656652,2.908533065
11.100000000,gps,False,0.045029243,2.791103761
11.150000000,gps,False,-0.029518923,2.760808273
11.200000000,gps,False,0.006098061,2.498939719
11.251000000,gps,False,-0.060022523,2.615642328
11.300000000,gps,False,-0.052680767,2.567009109
11.350000000,gps,False,0.039849403,2.442781510
11.400000000,gps,False,-0.032762054,2.551939827
11.450000000,gps,False,-0.061676428,2.462673641
11.500000000,gps,False,-0.004386930,2.423878135
11.556000000,gps,False,0.091688868,2.255507436
11.600000000,gps,False,0.042572975,2.239318047
11.655000000,gps,False,0.168451934,2.092867307
11.700000000,gps,False,0.084192567,2.274665397
11.755000000,gps,False,0.125551029,2.190712096
11.803000000,gps,False,-0.019681809,2.167558672
11.851000000,gps,False,0.007658562,2.096762738
11.906000000,gps,False,0.181666243,1.986815487
11.953000000,gps,False,-0.078618495,1.870138300
12.000000000,gps,False,-0.117865420,1.785307755
12.050000000,gps,False,-0.106829004,1.890013866
12.100000000,gps,False,0.136757018,1.702451052
12.150000000,gps,False,0.260035795,1.990620409
12.201000000,gps,False,-0.109250184,1.680932540
12.250000000,gps,False,0.088259849,1.832521000
12.302000000,gps,False,-0.003419999,1.310455771
12.350000000,gps,False,0.080355610,1.604735977
12.400000000,gps,False,0.197723678,1.745481671
12.450000000,gps,False,0.183382921,1.544732667
12.500000000,gps,False,0.089141352,1.621210906
12.550000000,gps,False,0.221474411,1.559890784
12.600000000,gps,False,0.172300628,1.328886691
12.650000000,gps,False,0.020135843,1.280019786
12.700000000,gps,False,0.092760073,1.549389371
12.750000000,gps,False,0.090727967,1.373187481
12.800000000,gps,False,0.034108110,1.243006020
12.850000000,gps,False,-0.013280858,1.236235324
12.900000000,gps,False,0.179722351,0.931556764
12.950000000,gps,False,-0.079473856,0.982958946
13.001000000,gps,False,0.009806241,0.923631068
13.050000000,gps,False,0.044177223,0.896448491
13.101000000,gps,False,-0.115537932,0.833395953
13.153000000,gps,False,-0.167397375,0.991721036
13.200000000,gps,False,0.159030421,0.863138091
13.250000000,gps,False,0.070004893,0.614994505
13.300000000,gps,False,0.117085852,0.833890144
13.350000000,gps,False,-0.080834579,0.679114505
13.400000000,gps,False,-0.019678900,0.638295528
13.455000000,gps,False,0.145407408,0.718394574
13.500000000,gps,False,0.104267042,0.499414428
13.550000000,gps,False,0.286159350,0.440874283
13.600000000,gps,False,-0.126673534,0.490599307
13.650000000,gps,False,-0.075372865,0.406420710
13.700000000,gps,False,-0.132158525,0.275186822
13.750000000,gps,False,-0.150474603,0.293674363
13.802000000,gps,False,0.015353164,0.308422208
13.850000000,gps,False,0.039691707,0.352801793
13.900000000,gps,False,0.012045067,0.263288310
13.950000000,gps,False,0.084750864,0.263495448
14.000000000,gps,False,-0.008300896,0.106941007
14.050000000,gps,False,0.175910100,0.025656529
14.100000000,gps,False,0.115917848,0.030227553
14.150000000,gps,False,0.263065494,0.064545864
14.200000000,gps,False,0.190547330,0.152880344
14.251000000,gps,False,0.223836861,0.012422047
14.300000000,gps,False,0.295701202,0.056664856
14.351000000,gps,False,0.192406161,0.103002687
14.404000000,gps,False,0.424122563,-0.065823510
14.460000000,gps,False,0.435162837,0.183013236
14.500000000,gps,False,0.435162837,0.183013236
14.550000000,gps,False,0.435204454,0.044110366
14.600000000,gps,False,0.504311748,0.097409524
14.650000000,gps,False,0.592451521,0.137822800
14.700000000,gps,False,0.655627523,0.048148217
14.751000000,gps,False,0.584577032,0.132266337
14.801000000,gps,False,0.855568204,-0.006698454
14.851000000,gps,False,0.814054446,-0.141651327
14.902000000,gps,False,0.697959266,-0.093692592
14.950000000,gps,False,0.940728435,-0.159955094
15.001000000,gps,False,0.813334764,-0.128710884
15.051000000,gps,False,0.884119269,-0.155753197
15.100000000,gps,False,1.019780751,-0.073680496
15.151000000,gps,False,1.058170601,-0.176262947
15.200000000,gps,False,0.858030619,-0.153770098
15.250000000,gps,False,1.205370445,-0.055039978
15.300000000,gps,False,1.209402374,-0.043839186
15.351000000,gps,False,1.155361794,-0.197666047
15.400000000,gps,False,1.231419855,-0.239679146
15.450000000,gps,False,1.344712583,0.181988809
15.500000000,gps,False,1.262494456,0.037634985
15.551000000,gps,False,1.221376800,-0.137869129
15.604000000,gps,False,1.474632154,-0.240735746
15.650000000,gps,False,1.409449216,-0.049205365
15.701000000,gps,False,1.422268335,-0.036935703
15.750000000,gps,False,1.788496555,-0.146293010
15.800000000,gps,False,1.723537833,-0.133498371
15.850000000,gps,False,1.773389135,-0.171409982
15.900000000,gps,False,1.684704349,-0.308512441
15.950000000,gps,False,1.955820976,-0.039871683
16.001000000,gps,False,1.888854096,-0.129651468
16.051000000,gps,False,1.855689232,-0.106385441
16.100000000,gps,False,1.824096235,-0.145242350
16.150000000,gps,False,1.873240994,-0.204809874
16.200000000,gps,False,2.039057947,-0.043842129
16.257000000,gps,False,1.999294882,-0.130913675
16.301000000,gps,False,2.239858936,-0.143487471
16.354000000,gps,False,2.106828061,-0.125296347
16.400000000,gps,False,2.176045140,-0.092830944
16.451000000,gps,False,2.323177956,0.000680535
16.507000000,gps,False,2.273245259,-0.240027478
16.577000000,gps,False,2.333204293,-0.057983772
16.600000000,gps,False,2.398480161,0.037209911
