stamp,source,gps_available,forced_dropout,model_loaded,model_ready,model_samples,ann_x,ann_y,output_x,output_y,odom_x,odom_y,gps_x,gps_y,origin_source,origin_x,origin_y
3.526000000,gps,True,False,True,True,188,0.024188974,0.044929214,0.062068549,0.034649841,0.000007731,-0.000000280,0.062068549,0.034649841,first_gps,0.062068549,0.034649841
3.559000000,gps,True,False,True,True,188,0.007625369,0.049647553,0.226026611,0.025770257,0.000015952,-0.000000459,0.226026611,0.025770257,first_gps,0.062068549,0.034649841
3.607000000,gps,True,False,True,True,188,0.009182303,0.036897305,-0.015397468,-0.184468754,-0.000011172,0.000000167,-0.015397468,-0.184468754,first_gps,0.062068549,0.034649841
3.653000000,gps,True,False,True,True,188,0.047122014,0.036188111,0.085045422,0.046842885,0.000020971,-0.000000519,0.085045422,0.046842885,first_gps,0.062068549,0.034649841
3.706000000,gps,True,False,True,True,188,0.021145049,0.034696661,-0.030744757,-0.146170326,0.000010811,-0.000000338,-0.030744757,-0.146170326,first_gps,0.062068549,0.034649841
3.750000000,gps,True,False,True,True,188,0.023328672,0.040213528,0.026333816,0.057238467,0.000002247,-0.000000174,0.026333816,0.057238467,first_gps,0.062068549,0.034649841
3.814000000,gps,True,False,True,True,188,-0.000380708,0.039955866,0.026068808,-0.124718749,-0.000018230,0.000000278,0.026068808,-0.124718749,first_gps,0.062068549,0.034649841
3.895000000,gps,True,False,True,True,188,-0.002656079,0.048596294,-0.000729361,0.088384662,0.000001506,-0.000000166,-0.000729361,0.088384662,first_gps,0.062068549,0.034649841
3.903000000,gps,True,False,True,True,188,-0.002726654,0.048605153,-0.000729361,0.088384662,-0.000008632,0.000000102,-0.000729361,0.088384662,first_gps,0.062068549,0.034649841
3.951000000,gps,True,False,True,True,188,0.008733546,0.038850821,0.083253270,-0.182032154,-0.000013142,0.000000219,0.083253270,-0.182032154,first_gps,0.062068549,0.034649841
4.002000000,gps,True,False,True,True,188,0.059505497,0.037211201,0.007482148,-0.035776324,-0.000023587,0.000000478,0.007482148,-0.035776324,first_gps,0.062068549,0.034649841
4.051000000,gps,True,False,True,True,188,0.017654890,0.032059937,0.099368349,-0.141922013,-0.000022935,0.000000486,0.099368349,-0.141922013,first_gps,0.062068549,0.034649841
4.101000000,gps,True,False,True,True,188,-0.026748518,0.052780602,0.064814641,0.116408741,-0.000006538,0.000000039,0.064814641,0.116408741,first_gps,0.062068549,0.034649841
4.151000000,gps,True,False,True,True,188,0.039577068,0.041165352,0.030859182,0.027023936,-0.000000198,-0.000000126,0.030859182,0.027023936,first_gps,0.062068549,0.034649841
4.202000000,gps,True,False,True,True,188,0.030999975,0.037691306,-0.123564842,0.077457104,-0.000011786,0.000000168,-0.123564842,0.077457104,first_gps,0.062068549,0.034649841
4.251000000,gps,True,False,True,True,188,0.075489821,0.032036927,0.242827777,-0.064102864,0.000022607,-0.000000756,0.242827777,-0.064102864,first_gps,0.062068549,0.034649841
4.301000000,gps,True,False,True,True,188,0.064925045,0.038305665,-0.013038494,0.062032424,0.000020560,-0.000000718,-0.013038494,0.062032424,first_gps,0.062068549,0.034649841
4.352000000,gps,True,False,True,True,188,0.046407053,0.033331169,0.089546795,-0.015281479,0.000000307,-0.000000168,0.089546795,-0.015281479,first_gps,0.062068549,0.034649841
4.400000000,gps,True,False,True,True,188,0.054095163,0.036905711,-0.172393973,0.165718252,0.000009671,-0.000000426,-0.172393973,0.165718252,first_gps,0.062068549,0.034649841
4.450000000,gps,True,False,True,True,188,0.013039386,0.043325061,0.144813477,-0.142004609,0.000003391,-0.000000270,0.144813477,-0.142004609,first_gps,0.062068549,0.034649841
4.501000000,gps,True,False,True,True,188,0.032653920,0.038140324,-0.087493952,-0.005361120,0.000003562,-0.000000269,-0.087493952,-0.005361120,first_gps,0.062068549,0.034649841
4.550000000,gps,True,False,True,True,188,0.044023143,0.036137036,-0.188631852,-0.007957528,-0.000006591,-0.000000041,-0.188631852,-0.007957528,first_gps,0.062068549,0.034649841
4.600000000,gps,True,False,True,True,188,0.049969356,0.031180527,-0.063948767,0.287859052,0.000002816,-0.000000264,-0.063948767,0.287859052,first_gps,0.062068549,0.034649841
4.658000000,gps,True,False,True,True,188,0.051257789,0.040600634,-0.184040668,-0.055554257,0.000013255,-0.000000488,-0.184040668,-0.055554257,first_gps,0.062068549,0.034649841
4.700000000,gps,True,False,True,True,188,0.052493577,0.030610182,0.036746882,-0.001907766,0.000010765,-0.000000438,0.036746882,-0.001907766,first_gps,0.062068549,0.034649841
4.754000000,gps,True,False,True,True,188,-0.007715132,0.041093377,-0.166451990,0.099423401,0.000012139,-0.000000471,-0.166451990,0.099423401,first_gps,0.062068549,0.034649841
4.801000000,gps,True,False,True,True,188,0.041028578,0.037804847,0.001678432,-0.059710573,0.000011277,-0.000000422,0.001678432,-0.059710573,first_gps,0.062068549,0.034649841
4.860000000,gps,True,False,True,True,188,0.028931089,0.040434595,-0.054045140,-0.005044599,0.000017886,-0.000000541,-0.054045140,-0.005044599,first_gps,0.062068549,0.034649841
4.900000000,gps,True,False,True,True,188,0.057232023,0.029298965,0.032313445,0.091918379,-0.000012748,0.000000064,0.032313445,0.091918379,first_gps,0.062068549,0.034649841
4.950000000,gps,True,False,True,True,188,0.001977280,0.041274131,-0.097140410,0.015073395,-0.000005889,-0.000000085,-0.097140410,0.015073395,first_gps,0.062068549,0.034649841
5.002000000,gps,True,False,True,True,188,0.046820401,0.034050634,-0.093033229,0.045691506,-0.000017542,0.000000136,-0.093033229,0.045691506,first_gps,0.062068549,0.034649841
