stamp,source,gps_available,forced_dropout,model_loaded,model_ready,model_samples,ann_x,ann_y,output_x,output_y,odom_x,odom_y,gps_x,gps_y,origin_source,origin_x,origin_y,fuzzy_alpha_ann,fuzzy_alpha_odom,fuzzy_velocity_error
3.616000000,gps,True,False,True,True,188,0.124960976,-0.060280880,-0.011028655,0.026036264,0.102983292,-0.002476246,-0.011028655,0.026036264,first_gps,0.093439496,0.058487462,nan,nan,nan
3.654000000,gps,True,False,True,True,188,0.200531091,-0.083596858,0.326716334,0.115548796,0.144181158,-0.003454898,0.326716334,0.115548796,first_gps,0.093439496,0.058487462,nan,nan,nan
3.702000000,gps,True,False,True,True,188,0.241599876,-0.081847437,0.184477449,0.113740479,0.185415313,-0.004479310,0.184477449,0.113740479,first_gps,0.093439496,0.058487462,nan,nan,nan
3.750000000,gps,True,False,True,True,188,0.264272872,-0.023404603,0.199636737,0.066203315,0.247169254,-0.005872991,0.199636737,0.066203315,first_gps,0.093439496,0.058487462,nan,nan,nan
3.800000000,gps,True,False,True,True,188,0.307432531,-0.017315744,0.244935811,0.029291226,0.288387547,-0.006741611,0.244935811,0.029291226,first_gps,0.093439496,0.058487462,nan,nan,nan
3.875000000,gps,True,False,True,True,188,0.365504245,-0.003714738,0.300278929,0.217284616,0.370766433,-0.008428400,0.300278929,0.217284616,first_gps,0.093439496,0.058487462,nan,nan,nan
3.900000000,gps,True,False,True,True,188,0.396971683,-0.018804569,0.334687088,0.096248597,0.411958759,-0.009338727,0.334687088,0.096248597,first_gps,0.093439496,0.058487462,nan,nan,nan
3.985000000,gps,True,False,True,True,188,0.429906579,-0.000195555,0.514106223,-0.086949990,0.494330208,-0.011212959,0.514106223,-0.086949990,first_gps,0.093439496,0.058487462,nan,nan,nan
4.009000000,gps,True,False,True,True,188,0.512068670,-0.039632255,0.486403320,0.035301082,0.514949344,-0.011655082,0.486403320,0.035301082,first_gps,0.093439496,0.058487462,nan,nan,nan
4.065000000,gps,True,False,True,True,188,0.494641228,0.039371621,0.556830935,-0.077671403,0.556184234,-0.012490420,0.556830935,-0.077671403,first_gps,0.093439496,0.058487462,nan,nan,nan
4.113000000,gps,True,False,True,True,188,0.575628295,0.009373336,0.508978561,-0.031202844,0.617976530,-0.013758082,0.508978561,-0.031202844,first_gps,0.093439496,0.058487462,nan,nan,nan
4.151000000,gps,True,False,True,True,188,0.609364677,0.048649513,0.759379194,-0.007233026,0.659173897,-0.014554218,0.759379194,-0.007233026,first_gps,0.093439496,0.058487462,nan,nan,nan
4.213000000,gps,True,False,True,True,188,0.673565761,0.042789474,0.793572545,0.172963058,0.720977814,-0.015829368,0.793572545,0.172963058,first_gps,0.093439496,0.058487462,nan,nan,nan
4.255000000,gps,True,False,True,True,188,0.688067656,0.069426262,0.793572545,0.172963058,0.762149647,-0.016756398,0.793572545,0.172963058,first_gps,0.093439496,0.058487462,nan,nan,nan
4.307000000,gps,True,False,True,True,188,0.751791053,0.004352908,0.793572545,0.172963058,0.823960245,-0.018067618,0.793572545,0.172963058,first_gps,0.093439496,0.058487462,nan,nan,nan
4.351000000,gps,True,False,True,True,188,0.840608416,-0.000533676,0.791392326,-0.144550614,0.865169522,-0.018824088,0.791392326,-0.144550614,first_gps,0.093439496,0.058487462,nan,nan,nan
4.400000000,gps,True,False,True,True,188,0.807013168,0.100700425,0.925153979,0.082513838,0.926957235,-0.019839147,0.925153979,0.082513838,first_gps,0.093439496,0.058487462,nan,nan,nan
4.450000000,gps,True,False,True,True,188,0.907211034,0.027186888,1.137463083,0.082074012,0.968147338,-0.020468006,1.137463083,0.082074012,first_gps,0.093439496,0.058487462,nan,nan,nan
4.500000000,gps,True,False,True,True,188,0.903015747,0.049753096,0.887939727,0.032003712,1.009374421,-0.021050611,0.887939727,0.032003712,first_gps,0.093439496,0.058487462,nan,nan,nan
4.550000000,gps,True,False,True,True,188,0.907452898,0.058295419,1.133774545,0.020274231,1.071174757,-0.021808189,1.133774545,0.020274231,first_gps,0.093439496,0.058487462,nan,nan,nan
4.600000000,gps,True,False,True,True,188,1.039423003,0.112535806,0.871178818,-0.082530345,1.112370589,-0.022344669,0.871178818,-0.082530345,first_gps,0.093439496,0.058487462,nan,nan,nan
4.650000000,gps,True,False,True,True,188,1.048171305,0.125329511,0.980856181,-0.066324097,1.174170528,-0.023260759,0.980856181,-0.066324097,first_gps,0.093439496,0.058487462,nan,nan,nan
4.702000000,gps,True,False,True,True,188,1.162555315,0.123661810,1.078439761,-0.078669125,1.235954738,-0.024171069,1.078439761,-0.078669125,first_gps,0.093439496,0.058487462,nan,nan,nan
4.750000000,gps,True,False,True,True,188,1.188036138,0.132764844,0.959987840,-0.131525888,1.277182055,-0.024741311,0.959987840,-0.131525888,first_gps,0.093439496,0.058487462,nan,nan,nan
4.802000000,gps,True,False,True,True,188,1.139969452,0.161986617,1.003177285,-0.126478674,1.338996901,-0.025560128,1.003177285,-0.126478674,first_gps,0.093439496,0.058487462,nan,nan,nan
4.852000000,gps,True,False,True,True,188,1.183536022,0.164128508,1.102818311,0.024137403,1.380195658,-0.026145923,1.102818311,0.024137403,first_gps,0.093439496,0.058487462,nan,nan,nan
4.900000000,gps,True,False,True,True,188,1.262756916,0.073820032,1.462674129,-0.105171911,1.442000289,-0.027104933,1.462674129,-0.105171911,first_gps,0.093439496,0.058487462,nan,nan,nan
4.950000000,gps,True,False,True,True,188,1.335100425,0.159812068,1.146019929,-0.056112241,1.483205678,-0.027731720,1.146019929,-0.056112241,first_gps,0.093439496,0.058487462,nan,nan,nan
5.000000000,gps,True,False,True,True,188,1.303068294,0.167913286,1.276550661,-0.062148453,1.524429999,-0.028373605,1.276550661,-0.062148453,first_gps,0.093439496,0.058487462,nan,nan,nan
5.051000000,gps,True,False,True,True,188,1.304205875,0.194521490,1.257619192,-0.171909516,1.586237176,-0.029287121,1.257619192,-0.171909516,first_gps,0.093439496,0.058487462,nan,nan,nan
5.101000000,gps,True,False,True,True,188,1.446552817,0.183867653,1.299347682,0.096163748,1.648018634,-0.030207138,1.299347682,0.096163748,first_gps,0.093439496,0.058487462,nan,nan,nan
5.151000000,gps,True,False,True,True,188,1.464483891,0.123461581,1.658792168,0.139593787,1.689215245,-0.030806443,1.658792168,0.139593787,first_gps,0.093439496,0.058487462,nan,nan,nan
5.201000000,gps,True,False,True,True,188,1.504886325,0.101063272,1.553639343,0.051899377,1.751015398,-0.031662644,1.553639343,0.051899377,first_gps,0.093439496,0.058487462,nan,nan,nan
5.251000000,gps,True,False,True,True,188,1.530965117,0.205219148,1.477721800,0.113871925,1.792222014,-0.032211697,1.477721800,0.113871925,first_gps,0.093439496,0.058487462,nan,nan,nan
5.300000000,gps,True,False,True,True,188,1.547372766,0.227434768,1.551905845,0.087827141,1.833418520,-0.032741521,1.551905845,0.087827141,first_gps,0.093439496,0.058487462,nan,nan,nan
5.352000000,gps,True,False,True,True,188,1.590937952,0.228670639,1.539801036,0.096111565,1.895234249,-0.033635023,1.539801036,0.096111565,first_gps,0.093439496,0.058487462,nan,nan,nan
5.400000000,gps,True,False,True,True,188,1.670741421,0.212366141,1.778449815,0.001785776,1.936438797,-0.034198667,1.778449815,0.001785776,first_gps,0.093439496,0.058487462,nan,nan,nan
5.451000000,gps,True,False,True,True,188,1.673224372,0.179874492,1.632365666,-0.027088402,1.998236569,-0.034967265,1.632365666,-0.027088402,first_gps,0.093439496,0.058487462,nan,nan,nan
5.500000000,gps,True,False,True,True,188,1.727250455,0.177577441,1.923332707,0.077832334,2.060077422,-0.035631736,1.923332707,0.077832334,first_gps,0.093439496,0.058487462,nan,nan,nan
5.550000000,gps,True,False,True,True,188,1.767525187,0.238379185,1.840053619,0.102455510,2.101278308,-0.036080944,1.840053619,0.102455510,first_gps,0.093439496,0.058487462,nan,nan,nan
5.600000000,gps,True,False,True,True,188,1.808258751,0.146821497,1.900951402,-0.070022842,2.142477531,-0.036618856,1.900951402,-0.070022842,first_gps,0.093439496,0.058487462,nan,nan,nan
5.650000000,gps,True,False,True,True,188,1.876424615,0.229743771,1.836573818,0.117682057,2.204270200,-0.037460558,1.836573818,0.117682057,first_gps,0.093439496,0.058487462,nan,nan,nan
5.710000000,gps,True,False,True,True,188,1.852918023,0.255999080,2.045108543,0.011110804,2.266075170,-0.038418145,2.045108543,0.011110804,first_gps,0.093439496,0.058487462,nan,nan,nan
5.750000000,gps,True,False,True,True,188,1.901030825,0.249341330,1.861123279,0.127792908,2.307281157,-0.039080496,1.861123279,0.127792908,first_gps,0.093439496,0.058487462,nan,nan,nan
5.802000000,gps,True,False,True,True,188,1.997541999,0.174801846,1.985187760,0.141334606,2.348475866,-0.039807112,1.985187760,0.141334606,first_gps,0.093439496,0.058487462,nan,nan,nan
