stamp,sample_index,input_0,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,input_11,input_12,input_13,input_14,target_x_m,target_y_m,target_x_norm,target_y_norm,odom_x_m,odom_y_m,target_norm_m,odom_error_m,training_target_x_m,training_target_y_m,training_target_x_norm,training_target_y_norm,prediction_x_m,prediction_y_m,prediction_error_m,target_mode
80.200000000,216,0.004173615,-0.021022938,0.021433222,0.008687890,0.120785505,0.121097554,0.017375779,0.241571010,0.242195108,0.670849613,0.146963287,-0.146564128,0.026748447,0.246323478,0.038413991,0.604511860,-0.232875000,0.060451186,-0.023287500,0.267484469,0.384139913,0.647815834,0.703061068,0.604511860,-0.232875000,0.060451186,-0.023287500,0.215386715,0.399353816,0.742382418,absolute
80.406000000,217,0.003729430,0.168293284,0.168334602,0.008635782,0.118652521,0.118966371,0.017271564,0.237305041,0.237932742,0.592276484,0.144494839,-0.081905940,0.020857131,0.274577040,0.054527621,0.500307895,-0.116193164,0.050030789,-0.011619316,0.208571307,0.545276212,0.513623248,0.722946728,0.500307895,-0.116193164,0.050030789,-0.011619316,0.215229645,0.399385658,0.589144405,absolute
80.703000000,218,-0.006626480,0.751885182,0.751914382,0.008647980,0.119114217,0.119427737,0.017295961,0.238228434,0.238855474,0.611464185,0.145097639,-0.098270973,0.013221519,0.269068277,0.079154540,0.358316512,0.115582452,0.035831651,0.011558245,0.132215189,0.791545405,0.376497047,0.712774664,0.358316512,0.115582452,0.035831651,0.011558245,0.214849475,0.399495446,0.318102780,absolute
81.000000000,219,-0.002036286,-0.298024606,0.298031563,0.008618975,0.116506905,0.116825278,0.017237949,0.233013810,0.233650556,0.516029201,0.142099460,-0.014419839,0.007535101,0.286108889,0.102524324,0.290998163,0.278224100,0.029099816,0.027822410,0.075351008,1.025243236,0.402602261,0.777522530,0.290998163,0.278224100,0.029099816,0.027822410,0.215496010,0.399355556,0.142735436,absolute
81.202000000,220,-0.006530096,-0.415605783,0.415657081,0.008668350,0.113784266,0.114113976,0.017336700,0.227568532,0.228227952,0.415619375,0.138944992,0.075079806,0.008289600,0.276558732,0.121307802,0.246172282,0.417594119,0.024617228,0.041759412,0.082896001,1.213078025,0.484753175,0.812067601,0.246172282,0.417594119,0.024617228,0.041759412,0.215533873,0.399361259,0.035653181,absolute
81.507000000,221,0.001546595,0.144487535,0.144495812,0.008620050,0.112758023,0.113087033,0.017240100,0.225516046,0.226174066,0.378250694,0.137771021,0.106893970,0.016768957,0.265707750,0.145644363,0.254238545,0.637773347,0.025423855,0.063777335,0.167689569,1.456443631,0.686579988,0.823232506,0.254238545,0.637773347,0.025423855,0.063777335,0.215154806,0.399401067,0.241555134,absolute
81.800000000,222,0.006783161,0.038379148,0.038973970,0.008584018,0.116070292,0.116387276,0.017168035,0.232140583,0.232774552,0.500523644,0.141612339,-0.000471343,0.021201634,0.286517105,0.169096799,0.275477781,0.869878631,0.027547778,0.086987863,0.212016338,1.690967993,0.912456487,0.823538157,0.275477781,0.869878631,0.027547778,0.086987863,0.215267544,0.399372648,0.474342864,absolute
82.000000000,223,0.008717244,-0.139425357,0.139697604,0.008589713,0.116874298,0.117189524,0.017179425,0.233748595,0.234379048,0.533113463,0.142636178,-0.029742354,0.017997072,0.284872317,0.187709779,0.239021770,1.019259410,0.023902177,0.101925941,0.179970718,1.877097785,1.046910288,0.859868423,0.239021770,1.019259410,0.023902177,0.101925941,0.215393380,0.399362791,0.620346773,absolute
82.200000000,224,-0.002785022,0.717348756,0.717354162,0.008554779,0.118162630,0.118471901,0.017109558,0.236325260,0.236943802,0.581223544,0.144147601,-0.072352082,0.014547223,0.277362256,0.204549489,0.179029235,1.162047770,0.017902923,0.116204777,0.145472226,2.045494886,1.175757835,0.884084204,0.179029235,1.162047770,0.017902923,0.116204777,0.214847315,0.399498149,0.763390372,absolute
82.400000000,225,-0.006588843,-0.286988765,0.287064390,0.008569087,0.116549934,0.116864521,0.017138173,0.233099868,0.233729042,0.521999866,0.142287034,-0.019792543,0.011440049,0.285916624,0.219704999,0.121880213,1.297558374,0.012188021,0.129755837,0.114400487,2.197049987,1.303269933,0.899522712,0.121880213,1.297558374,0.012188021,0.129755837,0.215478279,0.399364529,0.903057463,absolute
82.602000000,226,-0.008930944,0.310765235,0.310893540,0.008538686,0.114971438,0.115288077,0.017077371,0.229942875,0.230576153,0.463460543,0.140447967,0.032810039,0.009768913,0.284564881,0.238451051,0.050142734,1.467321780,0.005014273,0.146732178,0.097689129,2.384510508,1.468178293,0.918420287,0.050142734,1.467321780,0.005014273,0.146732178,0.215062612,0.399432487,1.080548984,absolute
82.908000000,227,-0.002304650,-0.626107230,0.626111472,0.009346368,0.108499208,0.108901022,0.018692736,0.216998415,0.217802044,0.240851793,0.133454507,0.229195705,0.019732521,0.216386182,0.264068408,0.058964356,1.707109662,0.005896436,0.170710966,0.197325205,2.640684078,1.708127686,0.943771643,0.058964356,1.707109662,0.005896436,0.170710966,0.215597550,0.399385355,1.317071305,absolute
83.200000000,228,-0.000732796,-0.098059157,0.098061895,0.009297982,0.104266014,0.104679769,0.018595965,0.208532028,0.209359539,0.098315265,0.128976590,0.300275935,0.040474268,0.095811495,0.280017397,0.171407898,1.870724046,0.017140790,0.187072405,0.404742679,2.800173970,1.878560386,0.958291335,0.171407898,1.870724046,0.017140790,0.187072405,0.215216001,0.399430362,1.471945737,absolute
83.401000000,229,-0.006655938,-0.345331124,0.345395262,0.009279287,0.103078278,0.103495104,0.018558574,0.206156557,0.206990209,0.056899807,0.127675485,0.310276979,0.060458370,0.056062285,0.285732882,0.328685300,1.984198909,0.032868530,0.198419891,0.604583703,2.857328818,2.011238259,0.915683224,0.328685300,1.984198909,0.032868530,0.198419891,0.215372622,0.399435012,1.588809734,absolute
83.700000000,230,0.000731591,0.441219467,0.441220074,0.009248863,0.102876228,0.103291141,0.018497725,0.205752456,0.206582282,0.037155939,0.127055213,0.312980333,0.082601272,0.036700668,0.290686269,0.528844052,2.074699319,0.052884405,0.207469932,0.826012719,2.906862687,2.141040237,0.883631760,0.528844052,2.074699319,0.052884405,0.207469932,0.214861104,0.399525908,1.704344814,absolute
83.901000000,231,-0.009916600,-0.686945379,0.687016953,0.009227902,0.101451546,0.101870361,0.018455804,0.202903092,0.203740722,-0.009158890,0.125600190,0.314838616,0.103012620,-0.009061510,0.294531540,0.686846751,2.139621583,0.068684675,0.213962158,1.030126197,2.945315404,2.247162427,0.875775834,0.686846751,2.139621583,0.068684675,0.213962158,0.215593608,0.399442891,1.802859230,absolute
84.200000000,232,0.003485118,-0.812827723,0.812835195,0.009203572,0.099820098,0.100243492,0.018407145,0.199640195,0.200486983,-0.062544082,0.123923044,0.308875473,0.131374052,-0.061483621,0.294451338,0.874200409,2.173668524,0.087420041,0.217366852,1.313740523,2.944513383,2.342874560,0.887354106,0.874200409,2.173668524,0.087420041,0.217366852,0.215675898,0.399451967,1.892484853,absolute
84.410000000,233,0.002152507,-0.432782603,0.432787955,0.009137765,0.100458714,0.100873445,0.018275529,0.200917427,0.201746890,-0.041135028,0.124595630,0.312462040,0.150282486,-0.040605608,0.294346800,1.037935822,2.203552712,0.103793582,0.220355271,1.502824860,2.943467997,2.435765860,0.873840059,1.037935822,2.203552712,0.103793582,0.220355271,0.215436306,0.399451994,1.982746795,absolute
84.711000000,234,-0.002046109,-1.000000000,1.000000000,0.009139763,0.101667774,0.102077772,0.018279526,0.203335548,0.204155544,-0.002833036,0.125798922,0.315116214,0.178644300,-0.002804686,0.294193611,1.258956847,2.248528099,0.125895685,0.224852810,1.786442999,2.941936109,2.576984857,0.871238377,1.258956847,2.248528099,0.125895685,0.224852810,0.215823362,0.399423894,2.123043530,absolute
85.000000000,235,0.006229777,0.272902284,0.272973381,0.009222047,0.101022321,0.101442375,0.018444094,0.202044641,0.202884750,-0.023844029,0.125138842,0.314193383,0.207006361,-0.023579789,0.294014523,1.490391618,2.292161031,0.149039162,0.229216103,2.070063609,2.940145227,2.734093885,0.869426900,1.490391618,2.292161031,0.149039162,0.229216103,0.214995121,0.399499134,2.282280720,absolute
85.200000000,236,0.007584074,-0.035769834,0.036564999,0.009217150,0.100763965,0.101184646,0.018434300,0.201527931,0.202369292,-0.030547860,0.124928235,0.313446951,0.225914249,-0.030173860,0.293877908,1.649818019,2.318825556,0.164981802,0.231882556,2.259142489,2.938779077,2.845848108,0.869263296,1.649818019,2.318825556,0.164981802,0.231882556,0.215201168,0.399448556,2.396274937,absolute
85.404000000,237,0.007619000,0.585352649,0.585402232,0.009236108,0.100995981,0.101417424,0.018472217,0.201991961,0.202834847,-0.023053089,0.125163690,0.314413747,0.244821718,-0.022810814,0.293717531,1.809888237,2.349983064,0.180988824,0.234998306,2.448217177,2.937175307,2.966161802,0.867328407,1.809888237,2.349983064,0.180988824,0.234998306,0.214802664,0.399551000,2.519619659,absolute
85.700000000,238,-0.001206996,-0.281064567,0.281067159,0.009244888,0.097900805,0.098336339,0.018489776,0.195801609,0.196672677,-0.127012483,0.121897710,0.290454965,0.272886350,-0.122467509,0.290913235,2.039258567,2.385968271,0.203925857,0.238596827,2.728863498,2.909132349,3.138697196,0.865595526,2.039258567,2.385968271,0.203925857,0.238596827,0.215357583,0.399468879,2.696811939,absolute
85.901000000,239,-0.002240011,-0.152937899,0.152954303,0.009217988,0.094140270,0.094590495,0.018435975,0.188280541,0.189180991,-0.253769533,0.117915520,0.220038650,0.289205763,-0.225312900,0.281587327,2.190685567,2.375423957,0.219068557,0.237542396,2.892057627,2.815873273,3.231368477,0.828201887,2.190685567,2.375423957,0.219068557,0.237542396,0.215260880,0.399509675,2.794018601,absolute
86.203000000,240,-0.002886709,0.290700425,0.290714758,0.009232877,0.089068338,0.089545602,0.018465755,0.178136676,0.179091204,-0.425754026,0.112512467,0.072848029,0.304520252,-0.306631968,0.258163579,2.389380677,2.249946488,0.238938068,0.224994649,3.045202516,2.581635787,3.281980990,0.734928619,2.389380677,2.249946488,0.238938068,0.224994649,0.214956710,0.399610410,2.855146790,absolute
86.500000000,241,-0.006850200,0.147391792,0.147550892,0.009235586,0.085651183,0.086147671,0.018471172,0.171302366,0.172295342,-0.539854434,0.108927897,-0.039349846,0.306834926,-0.312635831,0.230014968,2.510177763,2.006201018,0.251017776,0.200620102,3.068349259,2.300149680,3.213383719,0.630841688,2.510177763,2.006201018,0.251017776,0.200620102,0.215038859,0.399606342,2.801572601,absolute
86.700000000,242,0.003706883,-0.121661030,0.121717490,0.009305366,0.085980985,0.086483060,0.018610732,0.171961970,0.172966119,-0.527563138,0.109314040,-0.027243316,0.307054091,-0.313829703,0.211107315,2.526331069,1.880338793,0.252633107,0.188033879,3.070540907,2.111073155,3.149289229,0.591102947,2.526331069,1.880338793,0.252633107,0.188033879,0.215220090,0.399571933,2.744795885,absolute
86.905000000,243,-0.002988643,-0.022872772,0.023067200,0.009311559,0.085132078,0.085639803,0.018623118,0.170264156,0.171279606,-0.554219245,0.108476614,-0.053412948,0.307290180,-0.310537707,0.192200338,2.574347865,1.692842918,0.257434786,0.169284292,3.072901796,1.922003377,3.081068658,0.548698951,2.574347865,1.692842918,0.257434786,0.169284292,0.215152852,0.399578201,2.690415346,absolute
87.200000000,244,0.001790689,0.181156398,0.181165248,0.009265743,0.085938937,0.086437000,0.018531486,0.171877875,0.172874000,-0.529950638,0.109239034,-0.029607662,0.307657187,-0.313735639,0.163840534,2.621392318,1.467175208,0.262139232,0.146717521,3.076571871,1.638405338,3.004047399,0.486321070,2.621392318,1.467175208,0.262139232,0.146717521,0.215027033,0.399604634,2.632546451,absolute
