stamp,ann_x,ann_y,kf2_x,kf2_y,output_x,output_y,alpha_ann,alpha_kf2,alpha_target,slip_latch_alpha,slip_latch_active,severe_slip_boost,severe_slip_boost_active,disagreement_boost,ann_kf2_disagreement,ann_kf2_disagreement_rate,fuzzy_input_error,velocity_error_baseline,baseline_initialized,velocity_error,velocity_error_raw,odom_speed,odom_vx,odom_vy,imu_raw_vx,imu_raw_vy,imu_vx,imu_vy
2.002000000,-0.030337639,0.128047902,0.013609535,-0.144828296,0.013609535,-0.144828296,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.276392428,1.949128092,0.000000000,0.050000000,False,0.013350457,0.014914853,0.000011727,-0.000011727,0.000000000,-0.001146739,-0.014871603,-0.001405250,-0.013277530
2.050000000,-0.024514093,0.126807830,0.013609535,-0.144828296,0.013609535,-0.144828296,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.274298371,-0.043626184,0.000000000,0.134061584,True,0.134061584,0.136322566,0.880572651,0.880572651,0.000000000,0.876224447,-0.136253202,0.876112722,-0.133987378
2.100000000,1.354626745,1.209288580,0.013609535,-0.144828296,0.013609535,-0.144828296,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,1.905770100,32.629434582,0.000000000,0.134058901,True,0.133791932,0.137354857,0.880091413,0.880091413,0.000000000,0.866373273,-0.136668099,0.867082646,-0.133158001
2.150000000,0.583743392,0.269218912,0.004106079,-0.091028693,0.004106079,-0.091028693,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.682464469,-24.466112612,0.000398815,0.134062909,True,0.134461724,0.140049425,0.879975391,0.879975391,0.000000000,0.859221167,-0.138503081,0.861040873,-0.133121897
2.200000000,0.578110966,0.258246044,0.019495132,0.008511409,0.019495132,0.008511409,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.611897898,-1.411331423,0.000628964,0.134069230,True,0.134698195,0.141668691,0.879965009,0.879965009,0.000000000,0.852762792,-0.139032577,0.855566484,-0.132470056
2.250000000,0.622578080,0.259003393,0.019495132,0.008511409,0.019495132,0.008511409,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.653035432,0.822750687,0.002507955,0.134094436,True,0.136602391,0.145615367,0.879713200,0.879713200,0.000000000,0.847821176,-0.142080026,0.851807488,-0.133721668
2.300000000,0.634229065,0.251731368,0.019495132,0.008511409,0.019495132,0.008511409,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.661100413,0.161299610,0.003159104,0.134126185,True,0.137285289,0.147843162,0.880058063,0.880058063,0.000000000,0.843269109,-0.143192784,0.848280719,-0.133556921
2.350000000,0.729688809,0.252465473,0.315510967,0.046235213,0.315510967,0.046235213,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.462681537,-3.968377511,0.003427276,0.134160630,True,0.137587906,0.150285830,0.879651795,0.879651795,0.000000000,0.837131989,-0.144145401,0.843595555,-0.132779439
2.400000000,0.711575318,0.237997132,0.315990081,0.167548771,0.315990081,0.167548771,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.401809222,-1.217446312,0.001176831,0.134172457,True,0.135349288,0.149511318,0.879325616,0.879325616,0.000000000,0.839780799,-0.144186829,0.846588903,-0.131330642
2.450000000,0.695859565,0.234703145,0.315990081,0.167548771,0.315990081,0.167548771,0.000000000,1.000000000,0.000000000,0.000000000,False,0.000000000,False,0.000000000,0.385759685,-0.320990745,0.000000000,0.134140546,True,0.130965392,0.147328124,0.880405715,0.880405715,0.000000000,0.843943651,-0.142744856,0.851075468,-0.127638828
