stamp,ekf_x,ekf_y,pseudo_x,pseudo_y,gps_x,gps_y,odom_x,odom_y,ann_x,ann_y,kf_imu_x,kf_imu_y,complementary_x,complementary_y,ekf_error_m,pseudo_error_m,odom_error_m,ann_error_m,kf_imu_error_m,complementary_error_m
31.340000000,0.103063243,0.658358109,-0.016410338,0.769035493,-0.072698356,0.523173902,-0.409606285,2.432538675,-0.016410338,0.769035493,0.076980443,0.732560743,0.124458879,0.775748063,0.221736126,0.252222645,1.938860694,0.252222645,0.257384133,0.320413299
31.420000000,0.114845199,0.581431649,0.021096650,0.660715903,-0.029184098,0.551546526,-0.469073986,2.375490064,0.021096650,0.660715903,0.080859917,0.616477586,0.090021843,0.695459426,0.147097108,0.120191957,1.876239096,0.120191957,0.127772172,0.186871558
31.540000000,0.148453744,0.470681314,0.258500817,0.480671001,-0.063932431,0.236984857,-0.550571935,2.282793466,0.258500817,0.480671001,0.102234201,0.523626244,0.097852558,0.598954617,0.315787779,0.404161027,2.102891075,0.404161027,0.331322553,0.396480126
31.620000000,0.143314393,0.407727786,0.084355683,0.469665654,0.202784921,0.163393047,-0.593992818,2.212808634,0.084355683,0.469665654,0.103059609,0.449917206,0.125343973,0.497153779,0.251468107,0.328372342,2.198854023,0.328372342,0.303382979,0.342627096
31.740000000,0.160081747,0.308637013,0.069519792,0.397716591,0.031276362,0.095721747,-0.646644197,2.078885034,0.142822973,0.298628899,0.115033433,0.367679258,0.123187001,0.428822496,0.248844806,0.304406711,2.095832270,0.231546882,0.284563059,0.345548368
31.840000000,0.201214266,0.217699623,0.165217336,0.251880313,0.186742567,-0.181960326,-0.662528902,1.998060595,0.165217336,0.251880313,0.162204355,0.259743192,0.137557590,0.338158136,0.399921874,0.434374304,2.339605360,0.434374304,0.442384586,0.522438873
31.940000000,0.239569852,0.151583648,0.185914257,0.237873730,0.122253424,0.039951845,-0.667591431,1.915848383,0.185914257,0.237873730,0.206399250,0.200210258,0.181709310,0.238721408,0.161940741,0.207908090,2.035397435,0.207908090,0.181006295,0.207471303
32.040000000,0.311540329,0.081580032,0.272765556,0.153868773,0.128713374,-0.021720377,-0.655083524,1.793067785,0.272765556,0.153868773,0.282573049,0.136462304,0.222984551,0.175896953,0.209992071,0.227117988,1.976814015,0.227117988,0.220668439,0.218951282
32.120000000,0.386341019,0.004652951,0.368223084,0.003138231,0.159649221,-0.123993762,-0.626406134,1.694237376,0.368223084,0.003138231,0.380126940,0.044449277,0.297056689,0.109021168,0.260651392,0.244265429,1.980870388,0.244265429,0.277458973,0.270512051
32.240000000,0.505078718,-0.073054995,0.488213974,-0.018687939,0.493014415,-0.091392032,-0.581943116,1.601413922,0.488213974,-0.018687939,0.482836414,-0.012961303,0.383233979,0.024551114,0.021949815,0.072862400,2.005274468,0.072862400,0.079088374,0.159670151
32.340000000,0.601286186,-0.148966921,0.591725671,-0.165040228,0.627616459,0.009215651,-0.523463656,1.516705607,0.591725671,-0.165040228,0.564524636,-0.080949020,0.493957566,-0.043008149,0.160359002,0.177913631,1.896710679,0.177913631,0.110046563,0.143499216
32.420000000,0.664409506,-0.182244793,0.619329111,-0.171699240,0.476212764,-0.032556550,-0.473956669,1.450807603,0.619329111,-0.171699240,0.670520202,-0.117404595,0.582905411,-0.114957971,0.240467428,0.199607056,1.761587683,0.199607056,0.212024931,0.134808438
32.540000000,0.760323320,-0.235860436,0.678499471,-0.200075836,0.592624312,-0.197146019,-0.399889762,1.351859910,0.678499471,-0.200075836,0.749973773,-0.156334906,0.667464854,-0.149824694,0.172109742,0.085925123,1.839702030,0.085925123,0.162555836,0.088546115
32.620000000,0.816538911,-0.247584524,0.762203360,-0.193541185,0.877246895,0.013776104,-0.338091942,1.269414338,0.762203360,-0.193541185,0.823284648,-0.177156558,0.755148547,-0.196097671,0.268318536,0.237098024,1.747476999,0.237098024,0.198411707,0.242806524
32.740000000,0.930370462,-0.252907366,0.827463923,-0.178317969,0.955755647,-0.082396511,-0.276329802,1.186963288,0.827463923,-0.178317969,0.915551863,-0.181444944,0.819911779,-0.212370541,0.172390137,0.160186431,1.768985261,0.160186431,0.106896849,0.188007459
32.820000000,0.990896904,-0.247457418,0.904461819,-0.192350944,0.892436350,-0.133951667,-0.214709704,1.104435889,0.904461819,-0.192350944,0.989309195,-0.190618834,0.922961163,-0.217176155,0.150259895,0.059624555,1.661136998,0.059624555,0.112229746,0.088645810
32.940000000,1.074503352,-0.246478396,0.926507919,-0.166518695,0.907669872,-0.308555956,-0.153202462,1.021782227,0.926507919,-0.166518695,1.042806429,-0.194803925,0.990103049,-0.219038126,0.178008521,0.143281037,1.701543355,0.143281037,0.176639219,0.121690882
