stamp,ekf_x,ekf_y,pseudo_x,pseudo_y,gps_x,gps_y,reference_x,reference_y,truth_x,truth_y,evaluation_reference_source,evaluation_reference_x,evaluation_reference_y,odom_x,odom_y,ann_x,ann_y,kf_imu_x,kf_imu_y,complementary_x,complementary_y,final_x,final_y,ekf_error_x,ekf_error_y,ekf_error_m,pseudo_error_x,pseudo_error_y,pseudo_error_m,odom_error_x,odom_error_y,odom_error_m,ann_error_x,ann_error_y,ann_error_m,kf_imu_error_x,kf_imu_error_y,kf_imu_error_m,complementary_error_x,complementary_error_y,complementary_error_m,final_error_x,final_error_y,final_error_m
20.880000000,-0.501185015,2.305427764,-0.154593878,2.308297349,-0.488684143,2.320663036,-0.488684143,2.320663036,-0.498303592,2.313569519,truth,-0.498303592,2.313569519,-0.502512659,2.303624912,-0.154593878,2.308297349,-0.422676774,2.015395315,-0.438395901,2.228158479,-0.482745055,2.348816466,-0.002881422,-0.008141755,0.008636595,0.343709714,-0.005272170,0.343750147,-0.004209066,-0.009944607,0.010798678,0.343709714,-0.005272170,0.343750147,0.075626818,-0.298174204,0.307615461,0.059907692,-0.085411040,0.104326302,0.015558538,0.035246947,0.038528112
20.980000000,-0.518923529,2.261463277,-0.167682784,2.283031681,-0.682227493,2.044988457,-0.682227493,2.044988457,-0.516361632,2.270045651,truth,-0.516361632,2.270045651,-0.520266425,2.259981453,-0.167682784,2.283031681,-0.431457854,1.957281271,-0.461930894,2.160411539,-0.501185014,2.305427764,-0.002561897,-0.008582374,0.008956588,0.348678848,0.012986030,0.348920587,-0.003904793,-0.010064197,0.010795160,0.348678848,0.012986030,0.348920587,0.084903778,-0.312764380,0.324083645,0.054430738,-0.109634112,0.122402384,0.015176618,0.035382113,0.038499658
21.100000000,-0.539471914,2.208098254,-0.165556928,2.272979474,-0.417519140,2.140836189,-0.417519140,2.140836189,-0.537284892,2.217157386,truth,-0.537284892,2.217157386,-0.540802794,2.206939728,-0.165556928,2.272979474,-0.442529378,1.899477242,-0.480726454,2.080470259,-0.518923529,2.261463277,-0.002187022,-0.009059132,0.009319385,0.371727964,0.055822088,0.375895976,-0.003517903,-0.010217658,0.010806303,0.371727964,0.055822088,0.375895976,0.094755514,-0.317680144,0.331510605,0.056558438,-0.136687127,0.147926426,0.018361363,0.044305891,0.047959896
21.200000000,-0.556105633,2.163263867,-0.189807573,2.244588680,-0.345713957,2.179732564,-0.345713957,2.179732564,-0.554205006,2.172672951,truth,-0.554205006,2.172672951,-0.557419348,2.162344053,-0.189807573,2.244588680,-0.452154518,1.859300818,-0.495813216,2.033699536,-0.539471914,2.208098254,-0.001900627,-0.009409084,0.009599128,0.364397434,0.071915728,0.371426119,-0.003214342,-0.010328898,0.010817492,0.364397434,0.071915728,0.371426119,0.102050489,-0.313372133,0.329570017,0.058391791,-0.138973415,0.150742202,0.014733093,0.035425303,0.038366862
21.280000000,-0.569161704,2.127200748,-0.198332304,2.189527679,-0.539163534,2.047673410,-0.539163534,2.047673410,-0.567470077,2.136856190,truth,-0.567470077,2.136856190,-0.570442116,2.126440223,-0.198332304,2.189527679,-0.461865961,1.783543737,-0.495813216,2.033699536,-0.556105633,2.163263867,-0.001691627,-0.009655442,0.009802508,0.369137773,0.052671488,0.372876630,-0.002972039,-0.010415967,0.010831684,0.369137773,0.052671488,0.372876630,0.105604115,-0.353312453,0.368757263,0.071656861,-0.103156654,0.125602551,0.011364444,0.026407677,0.028749191
21.380000000,-0.585220553,2.081948271,-0.210010666,2.162498209,-0.490018645,2.090222264,-0.490018645,2.090222264,-0.583753369,2.091878151,truth,-0.583753369,2.091878151,-0.586459085,2.081364635,-0.210010666,2.162498209,-0.469698828,1.734400520,-0.515513833,1.955372242,-0.569161704,2.127200748,-0.001467185,-0.009929881,0.010037687,0.373742702,0.070620058,0.380356149,-0.002705716,-0.010513516,0.010856101,0.373742702,0.070620058,0.380356149,0.114054541,-0.357477631,0.375231522,0.068239536,-0.136505909,0.152612245,0.014591665,0.035322597,0.038217830
21.500000000,-0.604197755,2.027432914,-0.202539888,2.144309132,-0.628193651,2.111918795,-0.628193651,2.111918795,-0.599763908,2.046692088,truth,-0.599763908,2.046692088,-0.605366988,2.027017159,-0.202539888,2.144309132,-0.477801981,1.665407308,-0.519430266,1.930800634,-0.585220553,2.081948271,-0.004433847,-0.019259174,0.019762965,0.397224020,0.097617043,0.409042796,-0.005603080,-0.019674930,0.020457208,0.397224020,0.097617043,0.409042796,0.121961927,-0.381284780,0.400315870,0.080333642,-0.115891455,0.141011784,0.014543355,0.035256182,0.038138007
21.580000000,-0.616697240,1.990982719,-0.231616759,2.123352871,-0.454483057,2.103964182,-0.454483057,2.103964182,-0.615554003,2.001332698,truth,-0.615554003,2.001332698,-0.617811045,1.990646513,-0.231616759,2.123352871,-0.484449290,1.609364035,-0.540999868,1.846420111,-0.604197755,2.027432914,-0.001143238,-0.010349979,0.010412927,0.383937243,0.122020174,0.402860683,-0.002257042,-0.010686185,0.010921940,0.383937243,0.122020174,0.402860683,0.131104713,-0.391968663,0.413313294,0.074554135,-0.154912586,0.171919250,0.011356247,0.026100217,0.028463761
21.680000000,-0.632173268,1.945337826,-0.255852817,2.085108214,-0.667770492,1.869832530,-0.667770492,1.869832530,-0.631159098,1.955843655,truth,-0.631159098,1.955843655,-0.636265486,1.935974003,-0.255852817,2.085108214,-0.492387355,1.543922428,-0.554542297,1.767452574,-0.616697240,1.990982719,-0.001014170,-0.010505829,0.010554666,0.375306281,0.129264559,0.396943486,-0.005106388,-0.019869652,0.020515318,0.375306281,0.129264559,0.396943486,0.138771744,-0.411921227,0.434668487,0.076616801,-0.188391081,0.203374860,0.014461858,0.035139064,0.037998673
21.780000000,-0.647491602,1.899594816,-0.257029224,2.067617326,-0.593821928,1.817068456,-0.593821928,1.817068456,-0.646611970,1.910243771,truth,-0.646611970,1.910243771,-0.648424307,1.899423643,-0.257029224,2.067617326,-0.500742078,1.482727804,-0.554542297,1.767452574,-0.632173268,1.945337826,-0.000879632,-0.010648955,0.010685223,0.389582746,0.157373555,0.420168004,-0.001812336,-0.010820129,0.010970859,0.389582746,0.157373555,0.420168004,0.145869892,-0.427515967,0.451716646,0.092069673,-0.142791197,0.169900414,0.014438702,0.035094055,0.037948239
